link_meci,data_meci,echipa_gazda,echipa_oaspete,goluri_gazda,goluri_oaspete,posesie_minge_gazda,posesie_minge_oaspete,total_suturi_gazda,total_suturi_oaspete,suturi_pe_poarta_gazda,suturi_pe_poarta_oaspete,cornere_gazda,cornere_oaspete,cartonase_galbene_gazda,cartonase_galbene_oaspete,cartonase_rosii_gazda,cartonase_rosii_oaspete,ofsaiduri_gazda,ofsaiduri_oaspete,lovituri_libere_gazda,lovituri_libere_oaspete,aruncari_de_la_margine_gazda,aruncari_de_la_margine_oaspete,faulturi_gazda,faulturi_oaspete,interventii_portar_gazda,interventii_portar_oaspete
https://www.flashscore.ro/meci/fotbal/gaz-metan-p0uYHXwo/viitorul-constanta-billykZb/sumar/statistici/0/?mid=URbxzzve,19.12.2020,Gaz Metan Mediaș,FC Viitorul,1,0,48%,52%,6,8,2,3,1,4,5,2,0,0,0,3,24,19,26,43,,,3,1
https://www.flashscore.ro/meci/fotbal/fc-hermannstadt-pUUuFXvI/poli-iasi-t84qisiU/sumar/statistici/0/?mid=vP20epA3,20.12.2020,FC Hermannstadt,Poli Iași,0,1,43%,57%,4,8,1,4,5,6,6,4,0,0,2,0,16,19,25,44,,,3,1
https://www.flashscore.ro/meci/fotbal/fc-botosani-GjY1JjUS/fc-voluntari-WIoSeFi4/sumar/statistici/0/?mid=CjlsZgg1,20.12.2020,FC Botoșani,FC Voluntari,1,1,,,12,6,4,2,6,1,1,2,0,0,1,0,14,11,14,22,,,1,3
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=IF14f4P9,20.12.2020,LPS HD Clinceni,Dinamo București,1,1,45%,55%,7,8,2,4,3,5,0,1,0,0,3,0,20,22,27,25,,,3,1
https://www.flashscore.ro/meci/fotbal/fc-astra-EihjKDVb/fc-uta-arad-QDiPqBNj/sumar/statistici/0/?mid=GOfYzGOl,21.12.2020,UTA Arad,Astra Giurgiu,0,6,49%,51%,8,7,2,6,1,2,6,2,0,0,0,2,15,17,20,17,,,0,2
https://www.flashscore.ro/meci/fotbal/fcsb-Gv2kjDpN/sepsi-IDsPIcMA/sumar/statistici/0/?mid=M1eUyd9r,21.12.2020,FCSB,Sepsi Sf. Gheorghe,1,1,62%,38%,5,11,3,5,2,1,3,2,0,0,1,1,31,17,42,16,,,4,2
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=pxY0gOvG,22.12.2020,CFR Cluj,Univ. Craiova,0,0,,,5,9,1,4,6,4,3,2,0,0,0,1,11,7,30,16,,,4,1
https://www.flashscore.ro/meci/fotbal/fc-hermannstadt-pUUuFXvI/viitorul-constanta-billykZb/sumar/statistici/0/?mid=EgssouVb,10.01.2021,FC Viitorul,FC Hermannstadt,2,1,45%,55%,21,2,9,1,9,1,2,1,0,0,1,1,14,13,30,16,,,0,7
https://www.flashscore.ro/meci/fotbal/fc-voluntari-WIoSeFi4/gaz-metan-p0uYHXwo/sumar/statistici/0/?mid=URK7kFwr,12.01.2021,Gaz Metan Mediaș,FC Voluntari,2,0,53%,47%,8,3,4,2,5,4,2,3,0,0,2,3,26,18,28,30,,,2,2
https://www.flashscore.ro/meci/fotbal/sepsi-IDsPIcMA/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=ImuXeH0E,12.01.2021,Univ. Craiova,Sepsi Sf. Gheorghe,0,0,54%,46%,3,5,1,3,3,5,3,4,0,0,1,0,12,12,35,33,,,3,1
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/poli-iasi-t84qisiU/sumar/statistici/0/?mid=QgEGmg8f,13.01.2021,Chindia Târgoviște,Poli Iași,1,1,50%,50%,7,8,1,4,1,6,2,3,0,0,4,1,13,21,32,27,,,3,0
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/fc-hermannstadt-pUUuFXvI/sumar/statistici/0/?mid=jsmoYD87,13.01.2021,FC Hermannstadt,Dinamo București,0,2,44%,56%,7,4,2,3,5,3,0,2,0,0,2,1,23,21,25,34,,,1,2
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/fc-botosani-GjY1JjUS/sumar/statistici/0/?mid=8IJBlZhl,14.01.2021,FC Botoșani,FC Argeș,0,1,,,9,5,5,2,9,0,5,4,0,0,4,1,14,26,21,26,,,1,5
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=vctTdco8,14.01.2021,CFR Cluj,LPS HD Clinceni,3,1,58%,42%,7,10,4,7,9,1,3,3,0,0,1,1,18,23,27,25,,,6,1
https://www.flashscore.ro/meci/fotbal/fc-uta-arad-QDiPqBNj/viitorul-constanta-billykZb/sumar/statistici/0/?mid=CnYufeVQ,15.01.2021,UTA Arad,FC Viitorul,0,0,49%,51%,7,3,2,2,2,2,1,2,0,0,0,0,20,23,31,41,,,2,2
https://www.flashscore.ro/meci/fotbal/fc-astra-EihjKDVb/fcsb-Gv2kjDpN/sumar/statistici/0/?mid=0CUyeyGK,15.01.2021,FCSB,Astra Giurgiu,3,0,55%,45%,12,4,8,2,4,0,2,1,0,0,1,0,11,16,21,17,,,2,5
